ID,Name,canonical_outcomes
254,"Appeal allowed,  consequently  quash the conviction, set aside the sentence and the subsequent order made thereof,  further make an order that the appellant be immediately set free unless held for some other lawful cause.",Allowed | Quashed
255,"Exercising the  revisional powers under section 4 (2) of the Appellate Jurisdiction Act, Cap. 141,  nullify the proceedings and the decision of the High Court which dismissed the appeal of the appellant and make an order that the hearing of Civil Appeal No. 46 of 2020 should proceed accordingly, this point suffices to dispose of the entire appeal, as such find it unnecessary to deliberate on the ground of appeal raised by the appellant.",Dismissed | Proceedings nullified
256,Application granted   and order the applicant within fourteen (14) days to file the intended written submissions.,Allowed
257,"In view of the foregoing, and having found that this appeal is time-barred,  no need to address the second issue concerning the variation in the names of the parties in the records of DLHT and this court,  accordingly, the appeal is hereby dismissed with costs for being time barred.",Struck out | Dismissed
258,"Appeal is devoid of merit, and hereby dismiss it with costs.",Dismissed
259,Applicant is granted extension of time to file a notice of appeal within thirty (30) days from the date of delivery of this ruling.,Allowed
260,"In terms of Rule 11 (5) (b) of the Rules, the court  order the applicant to deposit with the Registrar of the Court an irrevocable bank guarantee in the sum of USD 357,926.061, the intended bank guarantee should be amenable to renewal to cover the whole period until the pending appeal is determined and it should be deposited within sixty (60) days from the date of this order.",Allowed
261,"n pursuance of section 4 (2) of the AJA,  quash all proceedings in Matrimonial Cross -Appeal No. 30 of 2020, set aside the resultant judgment and decree, on the other hand, quash all the proceedings in Matrimonial Appeal No. 24 of 2020 from 18 November, 2020 and set aside judgment and the resultant decree, going forward,  direct that the record in from which Matrimonial Appeal No. 24 of 2020 emanated shall be expeditiously remitted to the High Court with a view to a hearing of that appeal afresh upon the respondent re- filing her cross-appeal in that file not later than 30 days from the date of this ruling.",Quashed | Retrial ordered | Remitted
262,"Appeal allowed, quash the proceedings in relation to the appellant and the conviction entered,  set aside the sentence imposed on the appellant and order that the Tshs. 500,000/= he paid as fine in lieu of imprisonment be refunded to him,",Allowed | Quashed
263,"Appeal allowed accordingly, nullify and quash the judgment of the High Court and set aside all consequential orders, remit the case file to the High Court for composing a judgment after hearing the parties on the new issues,  make no order as to costs to the parties as none of them is blameworthy of the path taken by the 1st appellate court.",Allowed | Quashed | Proceedings nullified | Remitted
264,Application lacks merit and  dismiss it with cost.,Dismissed
265,"Appellant's conviction and sentence were well-grounded and we find nothing on which to fault the concurrent finding of the two lower courts, accordingly, the court  find the appeal barren of fruits and we dismiss it in its entirety.",Dismissed | Sentenced
266,"Appeal allowed,  for that reason, quash the conviction and set aside the sentence,  order the immediate release of the appellant if he is not in custody for some other lawful cause.",Allowed | Quashed | Release ordered
267,"Appeal is meritorious and  allowed, consequently, quash the appellants' convictions and set aside the sentences thereof,  further order for the immediate release of the appellants from prison unless they are otherwise held for other lawful purposes.",Allowed | Quashed | Release ordered
268,Appeal is without any merit and it is hereby dismissed.,Dismissed
269,"No merit in ground one and having so held, the court  see no need discussing other grounds which were dependent on the determination of ground one. Consequently,  dismiss the appeal for lack of merit. The respondent shall have her costs in this Court and the trial court.",Dismissed
270,"Appeal allowed,  conviction for the offence of murder is thus quashed and the sentence meted out thereat is accordingly set aside, in the end order the immediate release of the appellant, if not lawfully held for some other causes.",Allowed | Quashed | Release ordered
271,Appeal  dismissed in its entirety.,Dismissed
272,The Court sustain  the two points of abjection and hereby strike out the appeal with costs.,Struck out
273,Appellant's appeal has no merit and  accordingly dismiss it with costs.,Dismissed
274,"Appeal allowed,  consequently, nullify and quash the judgment of the trial court in Civil Case No. 10 of 2013 dated 6th November, 2020 and set aside the decree thereof, accordingly,  order the case file to be remitted to the trial court for it to compose a fresh judgment in accordance with law.",Allowed | Quashed | Proceedings nullified | Remitted
295,"Applicant has failed to demonstrate that the assailed judgment of the Court is manifestly erroneous and unjust, in the event, the court  dismiss the application with costs.",Dismissed
325,"The Court find merit in the preliminary objection, accordingly,  sustain it in the light of the foregoing, this application for stay of execution suffers incompetence and I hereby strike it with costs.",Struck out | Allowed
275,"Invoke the provision of section 4(2) of the ADA to revise and nullify the proceedings of the District Court of Magu dated 21st October, 2016 and those of the High Court in Criminal Sessions Case No. 163 of 2016, quash the conviction and set aside the sentence. emit the case file in PI Case No. 38 of 2014 to the District Court of Magu to conduct fresh committal proceedings before another magistrate as soon as practicable, further order that, the appellant should remain in custody pending the holding of fresh committal proceedings.",Quashed | Proceedings nullified
276,"Appellant was properly convicted on his own plea of guilty and was also properly sentenced, the appeal is without merit and is hereby dismissed in its entirety.",Dismissed | Convicted | Sentenced
277,"In exercise of our revisional powers in terms of section 4(2) of the ADA,  proceed to substitute the said sentence with the minimum sentence of thirty years imprisonment which was imposed by the trial court, for the foregoing reasons, and to the above extent, the appeal is partly allowed and partly disallowed.",Allowed in part | Sentence substituted | Sentenced
278,"Appellant committed the offence with which he stood charged, the sentence of life imprisonment meted out on him was the minimum sentence prescribed by law and, therefore the position taken by the learned Judge is consistent with the facts of the case and the law.  we have  no reason to interfere with it, the net result of what we have said is that, we find no merit in this appeal which we accordingly dismiss in its entirety.",Dismissed | Sentenced
279,"ln view of the foregoing, we are constrained to sustain the points of preliminary objection raised by the counsel for the respondents, and find the appeal Is Incompetent. All said, we accordingly strike out the purported appeal with no order as to costs.",Struck out
280,"Since the  finding disposes of the appeal, the court see no compelling reasons to consider the remaining grounds of appeal raised by the appellant. In the event, and for the foregoing reasons, the court hereby dismiss the appeal in its entirety with costs.",Dismissed
281,"Application granted   for stay of execution pending  the hearing and determination of the intended appeal, on a condition that the USD 600,000.00 already deposited at the Judiciary account considered as a security for the due performance of the decree.",Allowed
282,"In the final analysis, we decline to exercise our discretion in favour of the applicants, as we maintain that the matter at hand does not reveal any justifiable grounds for the delay in filing the amended record of appeal. Consequently, we dismiss the application with costs.",Dismissed
283,"Application is thus, hereby granted",Allowed
284,"The court has  quashed and set aside the sentence of seven (7) years' imprisonment on the first, second and third counts and substitute it with the sentence of five (5) years' imprisonment, the substituted sentence, in our view, is appropriate in the case at hand. However, uphold the sentence of the trial court of two years imprisonment on the fourth and fifth counts respectively and also, uphold the order that all sentences should run concurrently. The substituted sentence should run from the date of the appellant's conviction.",Quashed | Sentence substituted
285,"Appeal is incompetent due to the defective record of appeal, consequently, we strike it out with costs.",Struck out
286,"Applicant has not furnished sufficient grounds to warrant review of the decision of the Court in terms of Rule 66 (1) (a) and (b) of the Rules, in the upshot, we find the application to be wanting in merit and we accordingly dismiss it.",Dismissed
287,"The court nullify the entire proceedings, quash the judgment and set aside the resultant decree of the trial court dated 7th May, 2021 but issued on 2nd June, 2021.",Quashed | Proceedings nullified
288,"Appeal is dismissed in its entirety, for lack of merit.",Dismissed
289,"In the end, the court  substitute the sentence imposed for a sentence that will allow the 1st and 2nd appellants to be released immediately from imprisonment unless otherwise held for other lawful purposes. All in all, the court  dismiss the appeal, save for the sentence which we have substituted as stated herein.",Dismissed | Sentence substituted | Sentenced | Release ordered
290,Appeal is not meritorious and we accordingly dismiss it in its entirety.,Dismissed
291,"On the way forward, taking into account the circumstances of this case, we are of the firm view that justice demands that the appellant be set free unless otherwise held for lawful purposes.",Release ordered
292,"In the result, the court  satisfied that the appeal is meritorious and thus allowed with costs. Consequently,  quash the impugned judgment and decree and set aside the orders issued by the trial court.",Allowed | Quashed
293,"Appeal allowed,  the judgment, proceedings and the decree of the Mining Commission are hereby quashed and set aside. Further,  direct the Mining dispute No. 04 of 2022 between the parties herein be heard afresh and expeditiously by another Arbiter according to the prevailing laws.",Allowed | Quashed | Retrial ordered
294,"Consequently, in terms of section 4 (2) of the ADA, the court  hereby quash the proceedings and judgment of the trial court and set aside the conviction and the sentence meted against the appellant, the record of this appeal shall be remitted to the trial court for retrial before another Judge in accordance with the law.",Quashed | Retrial ordered | Remitted
297,"Appeal has merit to the extent explained in the second limb of ground 3. In view of the irregularity in relation to the assessor, the court  quash and set aside the judgment of the Tribunal, the proceedings and judgment of the first appellate court, going forward, the court  direct that the record of the DLHT be remitted expeditiously with a view to composition of a judgment afresh upon the remaining assessor filing his written opinion to be read to the parties in accordance with the law.",Allowed | Quashed | Retrial ordered | Remitted
298,Appeal allowed and order that the appellants shall be released forthwith from custody if not held therein lawfully on another cause.,Allowed | Release ordered
299,Appeal is hereby dismissed for lack of merits.,Dismissed
300,Appeal is allowed in part as indicated in this judgment with costs.,Allowed in part
301,"The Court nullify the judgment of DLHT of Chato in Land Application No. 10 of 2017 and set aside the decree, the nullification also applies to the proceedings of the High Court in Land Appeal No. 38 of 2019 as they emanated from nullity proceedings. In the final analysis, the court  accordingly order that the matter be placed before the DLHT for conducting the visit to the locus in quo as earlier on ordered in accordance with the law and later determine the dispute between the parties as soon as practicable.",Proceedings nullified
302,"The Court  hereby nullify, and quash the proceedings in Civil Application No. 44 of 2020, set aside the order of dismissal and substitute thereof with an order striking out the application in terms of section 4 (2) of the Appellate Jurisdiction Act, Cap. 141. In the end, in the circumstances of the appeal before the Court, we make no order as to costs.",Dismissed | Quashed | Proceedings nullified
303,"The court  remit the file to the CMA and direct that the preliminary objection which was raised on 1st July, 2019 in which parties' submissions were heard be determined expeditiously before proceeding with the testimony of DW1. In the end, having regard to the circumstances of the appeal, the court  make no order as to costs.",Remitted
304,This issue alone is sufficient to dispose the application which is accordingly struck out with costs.,Struck out
305,The court found no sufficient cause to extend the time to the applicant to lodge the notice of appeal. the court accordingly dismiss the application with costs.,Dismissed
324,"In the instant application, the High Court, as alluded to, dismissed the suit for being res judicata, so, to speak, there is no decree in the eye of the law capable of being executed and therefore, there is nothing so far amenable for stay in the end result, this application fails and it thus stand dismissed with costs.",Dismissed | Allowed
306,"The court order stay of execution of the order  of the High Court of Tanzania in Misc. Civil Application No. 99 of 2022 dated the 30th August, 2023 as per Morris J. pending hearing and determination of the intended appeal on condition that the applicant executes a commitment bond within thirty (30) days of the delivery of this ruling to the effect that all properties falling within the estate of the deceased that are in his custody and/or possession shall remain in the same condition as they were on the date of issuance of this order until the intended appeal is heard and determined.",Allowed
307,"Court is of the view that the application for stay of the execution was filed out of time prescribed by rule 11(4) of the Rules. this issue is sufficient to dispose this application and the determination of the two points of objection raised by the respondent's counsel will be superfluous. In the result, the court strike out the application with costs",Struck out | Allowed
308,The court  grant the application and  order the intended application for revision to be lodged within 60 days of the delivery of this ruling. Costs to be on the cause.,Allowed
309,"The court allow this appeal against conviction for rape and sentence which are hereby quashed and set aside accordingly, the net effect is that the appellant shall be released forthwith from custody unless he is held lawfully for another cause.",Allowed | Quashed | Sentenced | Release ordered
310,"Court allow the appeal based on these two grounds, accordingly, the court quash the conviction and set aside the sentence, the court  order the release of the appellant from prison immediately unless he is being held for other lawful cause.",Allowed | Quashed | Release ordered
311,"Appeal allowed, quash  the conviction and set aside the sentence of thirty years imprisonment imposed on the appellant, consequently, the court order the immediate release of the appellant from custody unless his incarceration is in connection with other lawful causes.",Allowed | Quashed | Release ordered
312,"Appeal allowed, quash the conviction and set aside the death sentence that was imposed on the appellant,  further the court  order immediate release of the appellant from prison unless his continued incarceration is otherwise lawfully justified.",Allowed | Quashed | Release ordered
313,The court  set aside the sentence of twenty-five (25) years imprisonment and substitute thereof with fifteen (15) years from the date the appellant was convicted and ultimately sentenced.,Convicted | Sentence substituted | Sentenced
314,"The totality from the forgoing sums up to the conclusion that, the appeal lacks merit, consequently, the court  dismiss it with costs.",Dismissed
341,"In fine, the appeal against conviction is dismissed but the appeal against sentence is partially allowed.",Allowed in part | Dismissed | Sentenced
315,"Having evaluated the evidence on record, the court   satisfied that  would have reached to the same conclusion reached by the learned trial judge, the court  also find that the trial court properly evaluated the evidence and arrived into a proper conclusion this takes the court to dismiss the fourth and fifth grounds entirely, in the event, the court dismiss the appeal with costs",Dismissed
316,"In the final analysis, the court   satisfied that the appeal is not merited and  accordingly dismiss it with costs.",Dismissed
317,"In the event, and for the foregoing reasons, the court hereby dismiss the application in its entirety with costs.",Dismissed
318,"Having so reasoned, the application is misconceived, incomplete and premature for lack of a decree to be stayed, Consequently,  the court strike out with no order as to costs because the dispute originate from religion.",Struck out | Allowed
319,"Application before the court  is therefore time barred, it is dismissed with costs.",Struck out | Dismissed
320,"The application is found to be meritorious, the decree of the High Court made in Miscellaneous Land Appeal No.103 of 2021, original Application No. 118 of 2016, is stayed pending hearing and final determination of the appeal pending before the Court as a condition thereto, the applicant is ordered to furnish security in the form of bank guarantee at the tune of TZS. 30,000,000.00 within 60 days from today, the court make no order as to costs.",Allowed
321,"In totality, the court  find the respondent as the intended appellant failed to take essential steps after lodging the notice of appeal, for her default in instituting the appeal timeously, in terms of Rule 89 (2) of the Rules, the notice of appeal is hereby struck out with costs.",Struck out | Dismissed
322,"The court  satisfied that the applicant has cumulatively complied with all the statutory conditions warranting the grant of the stay order as conceded by the respondent, accordingly,  grant the application and order stay of execution of the decree of the High Court of Tanzania, Labour Division at Dar es Salaam in Labour Revision No. 220 of 2022 dated 31st May, 2024 on condition that the applicant should deposit in the Court, within forty-five (45) days from the date of this ruling, a bank guarantee for the decreed sum of TZS 1,650,351,661.54, the said guarantee shall remain in force until full hearing and determination of the intended appeal. In default, the order of stay shall lapse automatically.",Allowed
323,"The Court content that the prosecution side proved its case beyond reasonable doubt, the appellant's appeal is lacking in merit and is dismissed in its entirety.",Dismissed
342,"The Court  find the appeal devoid of merit. Consequently, the appeal is dismissed with costs.",Dismissed
326,"Application is granted, time within which an application for revision of the High Court decision in Land Case No. 66 of 2010 is to be filed, is extended under the circumstances of this case, the intended application for revision should be filed within thirty (30) days from the date of the delivery of this ruling.",Allowed
327,"The Court  grant the application and give the applicant fourteen (14) days from the date this ruling is delivered, within which he should file an application for extension of time to lodge a notice by way of a second bite application in terms of rule 45A (1) (a) of the Rules, Costs should be in the cause.",Allowed
328,"The commitment bond conforming to the above conditions shall be executed and deposited with the Registrar, other parties to this application shall be entitled to the copy of the bond, the bond shall be deposited with the Registrar within fourteen days from the date of delivery of this ruling to the parties.",Allowed
329,"The Court  grant the application and order stay of execution of the decree of the High Court of Tanzania at Dar es Salaam in Consolidated Civil Cases No. 142 of 2020 and 79 of 2023 dated 22nd May, 2024 on condition that the applicant deposit in the Court, within sixty (60) days from the date of delivery of this ruling, a bank guarantee for the decreed principal sum of US$ 6,424,943.26. The said guarantee shall remain in force until full hearing and determination of the intended appeal. In default, the order of stay shall lapse automatically. Costs incidental to this application shall follow the event in the intended appeal.",Allowed
330,"The Court  find nothing to fault the two courts below because the prosecution case was proved to the required standard, in the end, Court  find no substance in the entire appeal and it is hereby dismissed.",Dismissed
331,"In the ultimate event, the appeal is allowed, the conviction and sentence which are not supported by the Republic are respectively quashed and set aside, the appellant should be immediately released from custody if he is not otherwise lawfully detained.",Allowed | Quashed | Sentenced | Release ordered
343,Application is devoid of merits which is dismissed with costs.,Dismissed
345,"Appeal is partly allowed by setting aside the decision of the first appellate court and subsequently, the decision the trial Court is upheld. The appellant shall pay the respondent costs of this appeal.",Allowed in part
377,"The Court hereby grant the application pending determination of appeal, the stay is made upon the condition that the applicant shall deposit security by way of a bank's guarantee to the tune of TZS 150,000,000.00 within sixty days of this ruling.",Allowed
332,"It is our finding that the prosecution case was not proved beyond reasonable doubt, the above outlined doubts therefore should be resolved in favour of the appellant, thus the ground that the prosecution case was not proved to the required standard has merit and we allow it. Following this finding, we see no need to consider the appellant's defence as Mr. Isihaka had invited us to do. Consequently,  the Court  hereby proceed to allow the appeal, quash the conviction and set aside the sentence meted against the appellant. Eventually, we order the release of the appellant from prison unless he is otherwise lawfully held.",Allowed | Quashed | Release ordered
333,"The Court  find nothing useful to fault the trial court's decision, consequently, Court find no merit in the appeal, which  hereby dismiss in its entirety.",Dismissed
334,"Application for stay of the execution was filed out of time prescribed by rule 11(4) of the Rules and this issue is sufficient to dispose the application. In the result, the Court  strike out the application with costs.",Struck out | Allowed
335,"Unfortunately, the applicants did not seek the leave of the Court before they filed those affidavits. Therefore, the omission to seek the leave to file supplementary affidavits renders the affidavits defective. Since the notice of motion is supported by defective affidavits, the application becomes incompetent and it is hereby struck out with costs.",Struck out
336,Appeal is allowed with a direction that the petition be remitted back to the High Court for assignment to a single Judge to determine the preliminary objections raised in the Reply to Petition and further steps according to the law. This being a public interest litigation the Court  will not make an order for costs.,Allowed | Remitted
337,"Appeal is found to be devoid of merits and we thus dismiss it. This being an employment matter, The Court  make no order as to costs.",Dismissed
338,The Court  find that the applicant has presented sufficient grounds warranting the granting of the application. The applicant is ordered to lodge the intended appeal within sixty (60) days from the date of this order. Costs to follow events. It is so ordered.,Allowed
339,"Accordingly the application  allowed, that means, if this application is not granted, the respondent will proceed to evict the applicant from the suit premises. For that matter, execution of the decree in Land Case No. 16 of 2017 (Mruma J.) dated 23rd April, 2021 is hereby stayed pending the determination of Civil Appeal No. 431 of 2021.",Allowed
340,"In view of the aforesaid, the Court  find that the application for review is devoid of merit and accordingly dismissed it with costs.",Dismissed
346,"The Court  therefore find the illegality pleaded not to constitute a reasonable cause for extension of time, in conclusion therefore, having the two grounds for extension of time not met by the applicant sufficiently to move this court to exercise its discretionary powers, the Court find this application to be without merits and is hereby dismissed.",Dismissed
347,"The Court  find it just that time is extended for the applicants to lodge the intended appeal, the intended appeal shall be lodged in this court within 30 days from the date of this Ruling.",Allowed
348,"Application is hereby granted, the application for extension of time as a second bite to be filed within fourteen (14) days from the date of this ruling.",Allowed
349,"The Court  satisfied that the applicant has adduced sufficient cause to be granted the extension sought. Therefore, interest of justice demands that provision of rule 64 (2) of the Rules be invoked to allow the applicant to file supplementary record of appeal. Thus,  vacate our previous order dated 18 August, 2022 and in terms of Rule 4 (2) (a) of the Rules, further extend the time to lodge supplementary record of appeal. The same to be filed within 30 days from the date of this ruling.",Allowed
350,The Court  see no merit in the application before us which  accordingly dismiss with costs.,Dismissed
351,"The suit before the Court  is incompetent for want of jurisdiction. Consequently, the suit is hereby struck out with costs.",Struck out
352,The suit is hereby struck out with costs awarded to the defendants.,Struck out
353,The appeal is allowed with costs and all the prayers in the plaint are granted to the appellant.,Allowed
354,"Since the appeal before the lower court was determined on the basis of a single ground which, as we have amply demonstrated, was bereft of merit, this Court remit the matter to the said court with a direction that the appeal should be reheard and determined expeditiously by another Resident Magistrate with competent jurisdiction. Considering the fact that neither of the parties is to blame for the reasons leading to this appeal, we make no order as to costs.",Allowed | Remitted
355,"Application is devoid of merits, it is dismissed with costs.",Dismissed
356,"The Court  find the appeal is without merit, consequently, dismiss it in its entirety.",Dismissed
357,"The Court  allow the appeal, quash the conviction and set aside the sentence of life imprisonment imposed against the appellant, further order that the appellant be released forthwith from custodial sentence unless otherwise he is held for any other lawful cause(s).",Allowed | Quashed | Release ordered
359,"The Court  order the case file to be remitted to the District Court, for the parties to be heard expeditiously, before Katemana, PRM or his successor in office, on the question of time limitation which was raised suo mottu. Each party to bear own costs as the irregularity was prompted by the District Court.",Remitted
360,Appeal is hereby dismissed with costs for being unmerited.,Dismissed
361,"The Court find  that this matter discloses no good cause for the Court to exercise its powers to enlarge time, accordingly, the Court dismiss this application in its entirety with costs.",Dismissed
362,"The remedy to an incompetent application like this one at hand is to strike it out, correctly as the learned State Attorney submitted. the Court  hereby strike out this application with costs.",Struck out
363,The Court  find no merits in this application which is dismissed with no order for costs.,Dismissed
364,The Court is  hereby dismiss the appeal in its entirety and sustain the conviction and sentence meted out against the appellant by the trial court.,Dismissed | Sentenced
365,"The Court  allow the appeal with costs, accordingly  quash the High Court's decision and enter judgment for the appellant adjudging him the lawful owner of the property in dispute.",Allowed | Quashed
366,"The Court  re-iterate that the execution of the CMA award upheld by the High Court in Consolidated Revision Application Nos. 254 and 264 of 2024 is hereby stayed pending final determination of the appeal. This order is conditional upon the applicant depositing a bank's guarantee for TZS Eighteen Million only (18,000,000. 00) as security for due performance of the decree, within one month from the date hereof.",Allowed
367,"The Court  find the application with merit and it is accordingly granted, the execution of the decree of the Court in Civil Appeal No. 63 of 2022 is hereby stayed pending hearing and determination of the intended application for review on condition that, the applicant executes within 30 days from the date hereof, a commitment bond to the effect that the suit property shall remain in the same condition as they were at the date of issuance of the decree by the Court.",Allowed
368,"The Court  reverse the decision of the High Court by quashing the appellant's conviction and by setting aside his sentence of life imprisonment,  further direct that the appellant be released from prison and be set to liberty, unless he continues to be held in custody for another lawful cause.",Quashed | Release ordered
369,"Finally, to the above extent, this application partly succeeds and partly fails, in which case, the Court  make no order as to costs.",Allowed in part | Dismissed
370,"The Court  invoke our revisional powers under section 4(2) of the Appellate Jurisdiction Act and revise the judgments and proceedings of both the District Court and the High Court. We, as a result, set aside the judgments of the two courts below, quash the proceedings thereof and restore the decision of the primary court. We do not make an order as to costs in the circumstances.",Quashed
371,"The Court  allow the appeal, quash the appellant's conviction and set aside the sentence. He should be released from prison forthwith unless he is otherwise lawfully held.",Allowed | Quashed | Release ordered
372,"In the result and for the foregoing reasons, the Court  exercise the power of revision under section 4 (2) of the Appellate Jurisdiction Act Cap. 141 to revise, nullify and quash the proceedings of the trial court with effect from 6th August, 2020 when the hearing commenced and set aside the decree in Commercial Case No. 11 of 2019. Consequently, the Court  order the  case file to be remitted to the trial court for a retrial. In the circumstances, we order that each party shall bear its own costs.",Quashed | Proceedings nullified | Retrial ordered | Remitted
373,"the applicants have failed to establish any element of illegality in the intended application which would justify an extension of time. In the final result and for the foregoing reasons, the application devoid of any merit and it is hereby dismissed",Dismissed
374,"It is our firm view that none of the grounds and issues, as discussed above, tick the boxes of Rule 60 (1) (a) to (e) of the Rules, and case law. At most, the grounds assail the decision having been erroneously arrived at. They all propose re-hearing of the appeal. They are, therefore grounds of appeal rather than grounds of review. In the circumstances, and for the above given reasons, the Court  find the application misconceived, the application is without merits and it is hereby dismissed.",Dismissed
375,"The Court  nullify the proceedings, the resultant decision and any orders subsequent thereto in Economic Application No. 01 of 2019. The appeal by the Director of Public Prosecutions for that matter fails and it is hereby dismissed in its entirety.",Dismissed | Proceedings nullified
376,"In view of that, in terms of section 4 (2) of the AJA, the Court proceed to nullify the proceedings from the date of the 7th appellants death onwards, quash the judgment and set aside the decree of the High Court,  further order for the case file to be remitted to the trial court for the parties to proceed in accordance with the taw or rather to apply for the necessary orders before the High Court as from time the 7th defendant had passed on, if they so wish.",Quashed | Proceedings nullified | Remitted
378,"For the aforegoing reasons, it is our settled view that the single Justice, who had all the material facts before him, judiciously exercised his discretion to grant extension of time based on the second ground of illegality which, the Court  think that, it is a serious point of law which cannot be brushed aside. Conclusively, the Court  found no reason to fault the decision of the learned single Justice, and hereby dismiss the application with costs.",Settled by consent | Dismissed
379,"Finally, the Court  allow the appeal, reverse the decision of the High Court and hold that the appellant was not at any material time reinstated in her former employment as was required by law consequent to the order of the Minister, the Court  make no order as to costs, since the dispute behind this appeal was a labour matter.",Allowed
380,"Application is allowed, such that in terms of the provisions of rule 10 of the Rules, the applicant is permitted to institute an application for revision in this Court, and to do so within thirty days from the date of delivery of this ruling. Considering the circumstances of this matter, the Court  make no order as to costs.",Allowed
381,"The Court  find no merit in the single ground for review raised by the applicant, the application is on that score not merited. Accordingly, the Court  dismiss it in its entirety.",Dismissed
382,"The Court  see no merit in the application, it is thus dismissed.",Dismissed
383,"The Court invoke  revisional jurisdiction under section 4 (2) of the AJA and nullify the entire proceedings before the High Court, quash the judgment and set aside the orders thereof. Considering the circumstances of this appeal,  and  make no order as to costs.",Quashed | Proceedings nullified
384,"Consequently, execution of the CMA award which was upheld by the Court on 27/05/2022 is hereby stayed pending determination of appeal, this order is conditional upon the applicant depositing a Bank's Guarantee for TZS 24,296,000.00, within thirty days from the date hereof. Because the application emanates from a labour dispute, where ordinarilythe Court  do not award costs, each party shall bear their costs.",Allowed
385,The Court find the application to be merited and grant it with costs.,Allowed
386,"The Court  order stay of execution application, the application is granted upon the condition that the applicant shall present a bank's guarantee which is equivalent of TZS 75,600,000.00 within thirty days from the date of this ruling, the Court  make no order for the costs, as the application arises from a labour dispute where ordinarily we do not award costs.",Allowed
387,"The Court  conclude that the applicants have not demonstrated any good cause that would entitle them extension of time, in the result, this application fails and is, accordingly, dismissed with costs for the first respondent only.",Dismissed
388,The Court  hereby grant the same and further order the applicant to file the said notice within fourteen days from the date of this ruling.,Allowed
389,"The Court find that the applicant has failed to meet the stipulated conditions to warrant the grant of stay of execution prayed, in fine the application is dismissed with costs.",Dismissed | Allowed
390,"In the light of the foregoing, and looking at the totality of the evidence, the Court  entertain no doubt that with the available evidence, the trial court properly held that the case against the appellant was proved beyond reasonable doubt. Consequently, the Court find no merit in the appeal and hereby dismiss it in its entirety.",Dismissed
391,"On account of what we have endeavoured to discuss, the Court  find the appeal merited and it is allowed, quash and set aside the conviction and sentence and order the immediate release of the appellant unless if held for some other lawful cause.",Allowed | Quashed | Release ordered
392,"Therefore, in terms of section 4 (2) of the Appellate Jurisdiction Act [CAP 141 R.E 2019], the Court  invoke our revisional jurisdiction and nullify the trial court judgment and summing up notes, quash and set aside the conviction and sentence meted on the appellant. It is further directed that, the case file be returned to the High Court for it to conduct a proper summing up to the assessors in compliance with section 298 (1) of the CPA and thereafter compose a fresh judgment and if need arises, give reasons for disagreement with the view of majority assessors.",Quashed | Proceedings nullified
393,"Given the nature of the evidence on record, the Court  satisfied that ordering a fresh summing up will serve the ends of justice. On the way forward invoke our revisional jurisdiction under section 4 (2) of the Appellate Jurisdiction Act (Cap 141 R.E. 2019) to quash and set aside the impugned judgment, the entire summing up and resultant opinions of assessors. It is further directed that the case file be returned to the trial court for it to conduct a proper summing up to assessors according to the dictates of the law. In the meantime, the appellant to remain in custody to await the resumed proceedings and decision as ordered above",Quashed
411,"In the final analysis, the Court  allow the appeal, quash the appellant's conviction and set aside the sentence. He should be released from prison unless he is otherwise lawfully detained.",Allowed | Quashed | Release ordered
394,"In consequence of the foregoing, the Court  find merit in the appeal and we allow it. Accordingly,  quash the conviction, set aside the sentence and make an order that the appellant be immediately set free from custody unless held for some other lawful cause.",Allowed | Quashed
395,"The application has merit and is hereby granted. Consequently, the execution of the decree of the High Court dated 30th November, 2022 in Land Case No. 242 of 2021 is hereby stayed pending hearing and determination of the intended appeal on condition that the applicant deposits in the Court within thirty days of the delivery of this ruling a bank guarantee for the sum of TZS. 438,000,000.00. The said guarantee shall remain in force until full hearing and determination of the intended appeal by this Court. In the event of default, the order of stay shall lapse automatically,  the Court do not in the circumstances make any order as to costs.",Allowed
396,Appeal is dismissed in its entirety.,Dismissed
397,"Consequently, and looking at the totality of the evidence, the Court  entertain no doubt that with the available circumstances, the learned trial Judge properly held that the case against the appellant was proved beyond reasonable doubt.",Convicted
398,"All said and done, the Court  satisfied that the charge was proved against the appellant beyond reasonable doubt as the prosecution did successfully establish that it is the appellant and no other who committed the shameful act of raping and sodomising his step daughter. In the circumstances, there is no cogent reason to fault the concurrent indings of the two courts below.  The Court  find the appeal not merited which is hereby dismissed.",Dismissed
399,"Appeal is merited and it is hereby allowed and  consequently, the Court  quash and set aside the conviction and the sentence and order the immediate release of the appellant unless held for other lawful  cause.",Allowed | Quashed | Release ordered
400,"The Court   agree with the learned Senior State Attorney that the appellant's notice of appeal was filed beyond the prescribed thirty (30) days. There is no evidence that the appellant sought and obtained extension of time to file the respective notice of appeal beyond the prescribed thirty days. Thus, since it is the notice of appeal which institutes an appeal, the purported appeal is not properly before the Court on ground of being incompetent, the Court  accordingly strike it out.",Struck out
401,"In the event, the appeal is hereby allowed, the appellant's conviction is quashed and the sentence is set aside. the Court consequently order refund of the fine, if paid.",Allowed | Quashed
402,"The Court  therefore quash the conviction of the first appellant and set aside the sentence meted by the trial court and order immediate release from custody unless he is held therein for other lawful cause, the conviction, sentence and orders issued against the second appellant are upheld.",Quashed | Release ordered
